   /TTIME_(s)        x_(mm)        y_(mm)        z_(mm)        Bx_(T)        By_(T)        Bz_(T)      Bmod_(T) 
    0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00 
    1.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00    -1.104E-05     0.000E+00     1.104E-05 
    2.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00    -1.787E-05     0.000E+00     1.787E-05 
    3.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00    -1.787E-05     0.000E+00     1.787E-05 
    4.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00    -1.104E-05     0.000E+00     1.104E-05 
    5.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     5.577E-13     0.000E+00     5.577E-13 
    6.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.104E-05     0.000E+00     1.104E-05 
    7.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.787E-05     0.000E+00     1.787E-05 
    8.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.787E-05     0.000E+00     1.787E-05 
    9.000E+00     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.104E-05     0.000E+00     1.104E-05 
    1.000E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00    -8.419E-13     0.000E+00     8.419E-13 
    1.100E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00    -1.104E-05     0.000E+00     1.104E-05 
    1.200E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00    -1.787E-05     0.000E+00     1.787E-05 
    1.300E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00    -1.787E-05     0.000E+00     1.787E-05 
    1.400E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00    -1.104E-05     0.000E+00     1.104E-05 
    1.500E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     9.158E-13     0.000E+00     9.158E-13 
    1.600E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.104E-05     0.000E+00     1.104E-05 
    1.700E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.787E-05     0.000E+00     1.787E-05 
    1.800E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.787E-05     0.000E+00     1.787E-05 
    1.900E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.104E-05     0.000E+00     1.104E-05 
    2.000E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00    -6.899E-13     0.000E+00     6.899E-13 
    2.100E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00    -1.104E-05     0.000E+00     1.104E-05 
    2.200E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00    -1.787E-05     0.000E+00     1.787E-05 
    2.300E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00    -1.787E-05     0.000E+00     1.787E-05 
    2.400E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00    -1.104E-05     0.000E+00     1.104E-05 
    2.500E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     6.985E-13     0.000E+00     6.985E-13 
    2.600E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.104E-05     0.000E+00     1.104E-05 
    2.700E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.787E-05     0.000E+00     1.787E-05 
    2.800E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.787E-05     0.000E+00     1.787E-05 
    2.900E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00     1.104E-05     0.000E+00     1.104E-05 
    3.000E+01     0.000E+00     0.000E+00     0.000E+00     0.000E+00    -8.758E-13     0.000E+00     8.758E-13 
